PID,C_max,C_sum,D_max,D_sum,E_max,E_sum,O_max,O_sum,P_max,P_sum,CCC,CCD,CCO,CDC,CDD,CDO,COC,COD,COO,DCC,DCD,DCO,DDC,DDD,DDO,DOC,DOD,DOO,EEE,EEO,EOE,EOO,OCC,OCD,OCO,ODC,ODD,ODO,OEE,OOC,OOD,OOO,Labels
23788.0,0,0,0,0,,,12,27,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,25,0
23789.0,0,0,0,0,,,15,42,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,40,0
23790.0,0,0,0,0,,,12,33,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,31,0
23791.0,0,0,0,0,,,25,51,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,49,0
23792.0,0,0,0,0,,,16,33,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,31,0
23793.0,0,0,0,0,,,15,39,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,37,0
23794.0,0,0,0,0,,,12,46,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,44,0
23795.0,0,0,0,0,,,12,27,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,25,0
23796.0,0,0,0,0,,,15,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23797.0,0,0,0,0,,,18,42,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,40,0
23798.0,0,0,0,0,,,17,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23799.0,0,0,0,0,,,18,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23800.0,0,0,0,0,,,15,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23801.0,0,0,0,0,,,18,39,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,37,0
23802.0,0,0,0,0,,,14,39,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,37,0
23803.0,0,0,0,0,,,12,33,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,31,0
23804.0,0,0,0,0,,,12,30,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,28,0
23805.0,0,0,0,0,,,15,40,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,38,0
23806.0,0,0,0,0,,,21,36,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,34,0
23807.0,0,0,0,0,,,10,27,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,25,0
23808.0,0,0,0,0,,,12,21,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,19,0
23809.0,0,0,0,0,,,18,38,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,36,0
23810.0,0,0,0,0,,,15,45,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,43,0
23811.0,0,0,0,0,,,12,27,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,,,,,0,0,0,0,0,0,,0,0,25,0
